(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 1ms delay 5.00000% loss) (10.00Mbit 1ms delay 5.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 150 -f m -b 20M -C cubic',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 49014 connected to 10.0.1.10 port 5201
[  5]  74.00-75.00  sec  63.6 KBytes  0.52 Mbits/sec    3   4.24 KBytes       
[  5]  75.00-76.00  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  76.00-77.00  sec  63.6 KBytes  0.52 Mbits/sec    0   9.90 KBytes       
[  5]  77.00-78.00  sec  63.6 KBytes  0.52 Mbits/sec    2   11.3 KBytes       
[  5]  78.00-79.00  sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  5]  79.00-80.00  sec  63.6 KBytes  0.52 Mbits/sec    5   8.48 KBytes       
[  5]  80.00-81.00  sec  63.6 KBytes  0.52 Mbits/sec    3   5.66 KBytes       
[  5]  81.00-82.00  sec  63.6 KBytes  0.52 Mbits/sec    0   9.90 KBytes       
[  5]  82.00-83.00  sec  63.6 KBytes  0.52 Mbits/sec    2   9.90 KBytes       
[  5]  83.00-84.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  84.00-85.00  sec  63.6 KBytes  0.52 Mbits/sec    2   9.90 KBytes       
[  5]  85.00-86.00  sec  63.6 KBytes  0.52 Mbits/sec    0   12.7 KBytes       
[  5]  86.00-87.00  sec  63.6 KBytes  0.52 Mbits/sec    2   11.3 KBytes       
[  5]  87.00-88.00  sec  63.6 KBytes  0.52 Mbits/sec    2   9.90 KBytes       
[  5]  88.00-89.00  sec  63.6 KBytes  0.52 Mbits/sec    4   7.07 KBytes       
[  5]  89.00-90.00  sec  63.6 KBytes  0.52 Mbits/sec    5   4.24 KBytes       
[  5]  90.00-91.00  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  91.00-92.00  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5]  92.00-93.00  sec  63.6 KBytes  0.52 Mbits/sec    0   8.48 KBytes       
[  5]  93.00-94.00  sec  63.6 KBytes  0.52 Mbits/sec    4   7.07 KBytes       
[  5]  94.00-95.00  sec  0.00 Bytes  0.00 Mbits/sec    4   5.66 KBytes       
[  5]  95.00-96.00  sec  63.6 KBytes  0.52 Mbits/sec    0   8.48 KBytes       
[  5]  96.00-97.00  sec  63.6 KBytes  0.52 Mbits/sec    0   12.7 KBytes       
[  5]  97.00-98.00  sec  63.6 KBytes  0.52 Mbits/sec    0   18.4 KBytes       
[  5]  98.00-99.00  sec   127 KBytes  1.04 Mbits/sec    5   9.90 KBytes       
[  5]  99.00-100.00 sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  5] 100.00-101.00 sec  63.6 KBytes  0.52 Mbits/sec    4   8.48 KBytes       
[  5] 101.00-102.00 sec  63.6 KBytes  0.52 Mbits/sec    2   7.07 KBytes       
[  5] 102.00-103.00 sec  63.6 KBytes  0.52 Mbits/sec    1   11.3 KBytes       
[  5] 103.00-104.00 sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  5] 104.00-105.00 sec  63.6 KBytes  0.52 Mbits/sec    3   8.48 KBytes       
[  5] 105.00-106.00 sec  63.6 KBytes  0.52 Mbits/sec    3   5.66 KBytes       
[  5] 106.00-107.00 sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5] 107.00-108.00 sec  63.6 KBytes  0.52 Mbits/sec    2   7.07 KBytes       
[  5] 108.00-109.00 sec  63.6 KBytes  0.52 Mbits/sec    2   7.07 KBytes       
[  5] 109.00-110.00 sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5] 110.00-111.00 sec  63.6 KBytes  0.52 Mbits/sec    5   4.24 KBytes       
[  5] 111.00-112.00 sec  63.6 KBytes  0.52 Mbits/sec    0   8.48 KBytes       
[  5] 112.00-113.00 sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  5] 113.00-114.00 sec  63.6 KBytes  0.52 Mbits/sec    4   7.07 KBytes       
[  5] 114.00-115.00 sec  0.00 Bytes  0.00 Mbits/sec    2   2.83 KBytes       
[  5] 115.00-116.00 sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5] 116.00-117.00 sec  63.6 KBytes  0.52 Mbits/sec    0   7.07 KBytes       
[  5] 117.00-118.00 sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5] 118.00-119.00 sec  63.6 KBytes  0.52 Mbits/sec    0   9.90 KBytes       
[  5] 119.00-120.00 sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  5] 120.00-121.00 sec  63.6 KBytes  0.52 Mbits/sec    2   14.1 KBytes       
[  5] 121.00-122.00 sec   127 KBytes  1.04 Mbits/sec    2   12.7 KBytes       
[  5] 122.00-123.00 sec  63.6 KBytes  0.52 Mbits/sec    0   15.6 KBytes       
[  5] 123.00-124.00 sec  63.6 KBytes  0.52 Mbits/sec    2   14.1 KBytes       
[  5] 124.00-125.00 sec   127 KBytes  1.04 Mbits/sec    0   17.0 KBytes       
[  5] 125.00-126.00 sec  63.6 KBytes  0.52 Mbits/sec    5   15.6 KBytes       
[  5] 126.00-127.00 sec  63.6 KBytes  0.52 Mbits/sec    4   8.48 KBytes       
[  5] 127.00-128.00 sec  63.6 KBytes  0.52 Mbits/sec    1   5.66 KBytes       
[  5] 128.00-129.00 sec  63.6 KBytes  0.52 Mbits/sec    0   9.90 KBytes       
[  5] 129.00-130.00 sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  5] 130.00-131.00 sec  63.6 KBytes  0.52 Mbits/sec    4   12.7 KBytes       
[  5] 131.00-132.00 sec  63.6 KBytes  0.52 Mbits/sec    3   5.66 KBytes       
[  5] 132.00-133.00 sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5] 133.00-134.00 sec  63.6 KBytes  0.52 Mbits/sec    1   5.66 KBytes       
[  5] 134.00-135.00 sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5] 135.00-136.00 sec   127 KBytes  1.04 Mbits/sec    0   14.1 KBytes       
[  5] 136.00-137.00 sec  63.6 KBytes  0.52 Mbits/sec    2   15.6 KBytes       
[  5] 137.00-138.00 sec  63.6 KBytes  0.52 Mbits/sec    7   7.07 KBytes       
[  5] 138.00-139.00 sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5] 139.00-140.00 sec  63.6 KBytes  0.52 Mbits/sec    3   2.83 KBytes       
[  5] 140.00-141.00 sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5] 141.00-142.00 sec  63.6 KBytes  0.52 Mbits/sec    0   11.3 KBytes       
[  5] 142.00-143.00 sec  63.6 KBytes  0.52 Mbits/sec    4   5.66 KBytes       
[  5] 143.00-144.00 sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5] 144.00-145.00 sec  63.6 KBytes  0.52 Mbits/sec    0   8.48 KBytes       
[  5] 145.00-146.00 sec  0.00 Bytes  0.00 Mbits/sec    4   8.48 KBytes       
[  5] 146.00-147.00 sec  63.6 KBytes  0.52 Mbits/sec    2   5.66 KBytes       
[  5] 147.00-148.00 sec  63.6 KBytes  0.52 Mbits/sec    1   5.66 KBytes       
[  5] 148.00-149.00 sec  0.00 Bytes  0.00 Mbits/sec    3   2.83 KBytes       
[  5] 149.00-150.00 sec  63.6 KBytes  0.52 Mbits/sec    0   5.66 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-150.00 sec  7.53 MBytes  0.42 Mbits/sec  282             sender
[  5]   0.00-150.15 sec  7.41 MBytes  0.41 Mbits/sec                  receiver

iperf Done.
*** Stopping 0 controllers

*** Stopping 2 links
..
*** Stopping 0 switches

*** Stopping 3 hosts
h1 h2 r1 
*** Done
max_queue_size = 140 packets
