*** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 31 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 35512 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   6.40-6.50   sec   128 KBytes  10.5 Mbits/sec    0    298 KBytes       
[  5]   6.50-6.60   sec   128 KBytes  10.5 Mbits/sec    0    300 KBytes       
[  5]   6.60-6.70   sec   128 KBytes  10.5 Mbits/sec    2    290 KBytes       
[  5]   6.70-6.80   sec  0.00 Bytes  0.00 Mbits/sec    2    252 KBytes       
[  5]   6.80-6.90   sec  0.00 Bytes  0.00 Mbits/sec    0    216 KBytes       
[  5]   6.90-7.00   sec   384 KBytes  31.5 Mbits/sec    0    209 KBytes       
[  5]   7.00-7.10   sec   128 KBytes  10.5 Mbits/sec    0    212 KBytes       
[  5]   7.10-7.20   sec   128 KBytes  10.5 Mbits/sec    0    215 KBytes       
[  5]   7.20-7.30   sec   128 KBytes  10.5 Mbits/sec    0    218 KBytes       
[  5]   7.30-7.40   sec   128 KBytes  10.5 Mbits/sec    0    221 KBytes       
[  5]   7.40-7.50   sec   128 KBytes  10.5 Mbits/sec    0    223 KBytes       
[  5]   7.50-7.60   sec   128 KBytes  10.5 Mbits/sec    0    225 KBytes       
[  5]   7.60-7.70   sec   128 KBytes  10.5 Mbits/sec    0    228 KBytes       
[  5]   7.70-7.80   sec  0.00 Bytes  0.00 Mbits/sec    0    230 KBytes       
[  5]   7.80-7.90   sec   128 KBytes  10.5 Mbits/sec    0    232 KBytes       
[  5]   7.90-8.00   sec   128 KBytes  10.5 Mbits/sec    2    222 KBytes       
[  5]   8.00-8.10   sec  0.00 Bytes  0.00 Mbits/sec    3    181 KBytes       
[  5]   8.10-8.20   sec   128 KBytes  10.5 Mbits/sec    0    163 KBytes       
[  5]   8.20-8.30   sec   256 KBytes  21.0 Mbits/sec    0    164 KBytes       
[  5]   8.30-8.40   sec   128 KBytes  10.5 Mbits/sec    0    167 KBytes       
[  5]   8.40-8.50   sec   128 KBytes  10.5 Mbits/sec    0    170 KBytes       
[  5]   8.50-8.60   sec   128 KBytes  10.5 Mbits/sec    0    173 KBytes       
[  5]   8.60-8.70   sec   128 KBytes  10.5 Mbits/sec    0    174 KBytes       
[  5]   8.70-8.80   sec  0.00 Bytes  0.00 Mbits/sec    0    177 KBytes       
[  5]   8.80-8.90   sec   128 KBytes  10.5 Mbits/sec    2    156 KBytes       
[  5]   8.90-9.00   sec   128 KBytes  10.5 Mbits/sec    0    123 KBytes       
[  5]   9.00-9.10   sec   128 KBytes  10.5 Mbits/sec    0    124 KBytes       
[  5]   9.10-9.20   sec   128 KBytes  10.5 Mbits/sec    0    127 KBytes       
[  5]   9.20-9.30   sec  0.00 Bytes  0.00 Mbits/sec    0    130 KBytes       
[  5]   9.30-9.40   sec   128 KBytes  10.5 Mbits/sec    0    132 KBytes       
[  5]   9.40-9.50   sec   128 KBytes  10.5 Mbits/sec    0    133 KBytes       
[  5]   9.50-9.60   sec  0.00 Bytes  0.00 Mbits/sec    0    136 KBytes       
[  5]   9.60-9.70   sec   128 KBytes  10.5 Mbits/sec    0    137 KBytes       
[  5]   9.70-9.80   sec   128 KBytes  10.5 Mbits/sec    0    139 KBytes       
[  5]   9.80-9.90   sec  0.00 Bytes  0.00 Mbits/sec    0    140 KBytes       
[  5]   9.90-10.00  sec   128 KBytes  10.5 Mbits/sec    0    140 KBytes       
[  5]  10.00-10.10  sec   128 KBytes  10.5 Mbits/sec    0    141 KBytes       
[  5]  10.10-10.20  sec  0.00 Bytes  0.00 Mbits/sec    0    143 KBytes       
[  5]  10.20-10.30  sec   128 KBytes  10.5 Mbits/sec    0    143 KBytes       
[  5]  10.30-10.40  sec   128 KBytes  10.5 Mbits/sec    0    144 KBytes       
[  5]  10.40-10.50  sec   128 KBytes  10.5 Mbits/sec    0    146 KBytes       
[  5]  10.50-10.60  sec  0.00 Bytes  0.00 Mbits/sec    0    146 KBytes       
[  5]  10.60-10.70  sec   128 KBytes  10.5 Mbits/sec    0    147 KBytes       
[  5]  10.70-10.80  sec   128 KBytes  10.5 Mbits/sec    0    148 KBytes       
[  5]  10.80-10.90  sec   128 KBytes  10.5 Mbits/sec    0    148 KBytes       
[  5]  10.90-11.00  sec  0.00 Bytes  0.00 Mbits/sec    0    148 KBytes       
[  5]  11.00-11.10  sec   128 KBytes  10.5 Mbits/sec    0    148 KBytes       
[  5]  11.10-11.20  sec   128 KBytes  10.5 Mbits/sec    0    150 KBytes       
[  5]  11.20-11.30  sec   128 KBytes  10.5 Mbits/sec    0    150 KBytes       
[  5]  11.30-11.40  sec  0.00 Bytes  0.00 Mbits/sec    0    150 KBytes       
[  5]  11.40-11.50  sec   128 KBytes  10.5 Mbits/sec    0    150 KBytes       
[  5]  11.50-11.60  sec   128 KBytes  10.5 Mbits/sec    0    150 KBytes       
[  5]  11.60-11.70  sec   128 KBytes  10.5 Mbits/sec    0    150 KBytes       
[  5]  11.70-11.80  sec  0.00 Bytes  0.00 Mbits/sec    0    150 KBytes       
[  5]  11.80-11.90  sec   128 KBytes  10.5 Mbits/sec    0    150 KBytes       
