(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 0.00000% loss) (100.00Mbit 1ms delay 0.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 35 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 43564 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-0.15   sec  77.8 KBytes  4.19 Mbits/sec    0   14.1 KBytes       
[  5]   0.15-0.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   0.20-0.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   0.30-0.40   sec  84.8 KBytes  6.95 Mbits/sec    0   28.3 KBytes       
[  5]   0.40-0.50   sec  84.8 KBytes  6.95 Mbits/sec    0   55.1 KBytes       
[  5]   0.50-0.60   sec  0.00 Bytes  0.00 Mbits/sec    0   56.6 KBytes       
[  5]   0.60-0.70   sec   255 KBytes  20.9 Mbits/sec    0   97.6 KBytes       
[  5]   0.70-0.80   sec   128 KBytes  10.5 Mbits/sec    0    146 KBytes       
[  5]   0.80-0.90   sec   256 KBytes  21.0 Mbits/sec    0    181 KBytes       
[  5]   0.90-1.00   sec  0.00 Bytes  0.00 Mbits/sec    0    187 KBytes       
[  5]   1.00-1.10   sec   128 KBytes  10.5 Mbits/sec    0    192 KBytes       
[  5]   1.10-1.20   sec   256 KBytes  21.0 Mbits/sec    0    198 KBytes       
[  5]   1.20-1.30   sec   128 KBytes  10.5 Mbits/sec    0    204 KBytes       
[  5]   1.30-1.40   sec   128 KBytes  10.5 Mbits/sec    0    209 KBytes       
[  5]   1.40-1.50   sec   128 KBytes  10.5 Mbits/sec    0    215 KBytes       
[  5]   1.50-1.60   sec   128 KBytes  10.5 Mbits/sec    0    221 KBytes       
[  5]   1.60-1.70   sec   128 KBytes  10.5 Mbits/sec    0    228 KBytes       
[  5]   1.70-1.80   sec   128 KBytes  10.5 Mbits/sec    0    233 KBytes       
[  5]   1.80-1.90   sec   256 KBytes  21.0 Mbits/sec    0    239 KBytes       
[  5]   1.90-2.00   sec   128 KBytes  10.5 Mbits/sec    0    245 KBytes       
[  5]   2.00-2.10   sec   128 KBytes  10.5 Mbits/sec    0    250 KBytes       
[  5]   2.10-2.20   sec   128 KBytes  10.5 Mbits/sec    0    256 KBytes       
