(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 150 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 58004 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   1.90-2.00   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   2.00-2.10   sec   127 KBytes  10.4 Mbits/sec    0   9.90 KBytes       
[  5]   2.10-2.20   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   2.20-2.30   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   2.30-2.40   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   2.50-2.60   sec  0.00 Bytes  0.00 Mbits/sec    1   8.48 KBytes       
[  5]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   2.80-2.90   sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   3.10-3.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   3.30-3.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   3.40-3.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   3.50-3.60   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   3.60-3.70   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   3.70-3.80   sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]   3.80-3.90   sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]   3.90-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   4.00-4.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   4.10-4.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   4.20-4.30   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.30-4.40   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.40-4.50   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.50-4.60   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.60-4.70   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.70-4.80   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.80-4.90   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   4.90-5.00   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   5.00-5.10   sec   127 KBytes  10.4 Mbits/sec    0   8.48 KBytes       
[  5]   5.10-5.20   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
